"","combid","Def_12_x","Def_13_x","Def_14_x","Def_15_x","Def_16_x","Def_17_x","Def_18_x","Def_19_x","Def_20_x","Def_21_x","Def_22_x","Def_12_y","Def_13_y","Def_14_y","Def_15_y","Def_16_y","Def_17_y","Def_18_y","Def_19_y","Def_20_y","Def_21_y","Def_22_y"
"140","2017100809_993",20.9,11.48,2.95,32.01,34.73,35.6,31.38,20.5,8.92,34.72,36.65,19.48,25.38,22.19,34.33,26.78,22.17,23.78,23.4,17.81,31.04,18.91
"141","2017100809_307",99.78,107.44,114.96,86.79,84.69,79.59,89.26,100.43,110.58,84.5,79.41,38.38,33.51,39.08,23.78,30.07,38.35,35.62,35.54,42.05,27.62,40.96
"142","2017100809_178",97.68,104.63,109.25,80.78,85.64,87.07,88.56,97.29,103.75,82.04,87.36,25.31,23.02,26.02,25.23,34.08,36.28,27.54,28.2,29.27,27.88,40.01
"143","2017100809_1153",82,82.44,84.17,100.22,81.99,95.94,115.4,97.7,81.74,85.07,96.5,29.99,30.91,37.91,21.13,33.71,30.58,28.9,32.51,28.66,20.19,31.74
"144","2017100808_4084",87.02,83.92,107.35,98.44,118.85,78.83,79.43,98.85,82.95,80.9,80.7,32.54,24.89,32.93,31.97,35.82,30.35,33.49,38.71,37.37,20.43,41.25
"145","2017100808_36",35.73,35.4,28.98,37.98,20.25,1.76,37.94,34.73,34.44,20.51,36.87,14.16,29.1,28.2,22.59,22.03,16.53,27.42,16.55,17,23.14,38.05
"146","2017100808_2762",31.65,34.13,34.5,20.08,39.18,7.32,37.48,38.03,19.74,35.09,40.66,23.12,26.58,31.42,19.78,12.9,19.26,24.22,19.77,17.89,15.95,11.48
"147","2017100808_2207",32.9,44.36,37.99,17.15,26.36,11.94,43.75,42.3,31.27,37.1,41.24,22.88,13.56,30.39,22.9,23.13,21.23,24.7,20.74,14.8,16.36,34.07
"148","2017100808_1044",75.71,77.9,89.96,74.91,95.63,109.92,73.42,90.26,78.88,96.44,73.05,41.3,13.7,16.93,29.26,24.36,19.09,21.51,32.32,35.38,21.49,10.71
"149","2017100807_4055",75.45,84.7,68.74,76.3,84.38,77,82.81,92.85,79.32,83.46,88.86,8.04,13.98,31.33,10.8,20.59,18.15,14,19.93,14.98,17.18,12.43
"150","2017100807_1993",40.66,60.45,52.42,27.22,24.84,50,16.02,33.73,52.11,57.79,54.96,38.15,35.32,42.27,38.76,22.2,24.97,33.25,34.44,15.58,27.09,37.91
"151","2017100807_1026",76.8,85.54,81.83,81.32,79.55,97.06,94.71,100.63,81.06,95.42,100.17,15.28,27.45,31.99,13,27.66,14.15,21.76,13.08,23.88,19.92,5.99
"152","2017100806_657",36.67,16.55,9.23,25.35,38.97,25.14,32.96,33.67,41.66,35.06,41.15,18.18,30.52,26.08,24.87,19.63,26.34,12.93,15.56,33.1,38.07,17.29
"153","2017100806_425",35.68,18.55,9.02,25.13,38.81,26.03,32.76,34.06,40.01,34.75,44.2,13.33,24.9,16.51,22.19,16.32,24.01,11.94,15.26,29.4,34.83,11.92
"154","2017100806_36",35.8,15.74,10.12,24.52,42.67,26.56,32.24,30.14,41.72,36.41,39.88,13.1,15.7,17.04,18.65,21.5,21.09,11.56,29.45,29.1,33.89,15.63
"155","2017100806_2343",35.39,13.4,9.21,27.76,36.59,50.12,28.6,41.5,40.66,37.45,29.97,20.53,27.94,25.08,24.76,29.42,25.17,21.97,34.82,35.74,19.04,27.09
"156","2017100805_767",93.5,93.51,81.44,81.6,94.42,108.64,78.31,78.38,104.24,81.21,NA,23.47,24.99,40.95,21.07,29.67,35.53,30.35,17.89,32.56,37.06,NA
"157","2017100805_4235",106.57,96.06,82.3,88.24,95.31,103.22,82.69,83.76,83.27,83.78,85.45,27.34,24.75,17.19,38.58,28.79,23.07,20.86,27.54,32.17,40.55,37.51
"158","2017100805_4052",88.18,96.6,110.34,81.47,96.73,86.09,76.44,82.37,82.12,83.69,83.66,38.7,29.82,38.38,15.71,33.44,17.37,22.96,26.77,34.13,43.21,38.22
"159","2017100805_379",32.95,39.05,49.04,46.43,39.03,49.79,47.01,47.11,47.92,47.44,NA,19.13,24.11,34.1,10.62,22.59,32.58,26.88,18.88,11.7,15.1,NA
"160","2017100805_3263",7.06,22.06,38.43,31.26,22.88,14.38,37.77,36.96,36.99,35.63,33.82,22.9,27.64,36.13,13.92,23.08,28.47,31.9,27.95,19.83,9.49,15.74
"161","2017100805_2873",94.46,94.42,82.31,81.73,94.42,109.06,78.14,79.29,103.58,79.07,80.47,22.53,23.31,41.8,18.81,28.77,37.8,29.71,16.48,32.75,31.08,35.62
"162","2017100805_2386",7.8,12.77,24.5,37.4,35.9,23.7,35.9,38.37,37.27,36.13,34.7,21.07,24.1,24.7,35.53,16.23,21.33,28.4,23.17,20.77,10.03,14.07
"163","2017100805_2336",87.15,85.03,79.53,85.06,85.74,76.51,81.25,80.4,78.73,85.04,NA,32.07,31.1,19.9,42.11,36.69,23.53,31.16,37.04,43.89,38.78,NA
"164","2017100805_1073",106.48,97.12,79.68,83.42,97.19,80.07,82.12,81.81,81.57,83.67,NA,24.69,29.13,16.65,38.44,32.85,24.43,29,33.08,41.37,36.42,NA
"165","2017100804_963",89.6,81.6,99.81,81.64,83.25,81.36,94.75,83.43,83.42,115.74,96.74,35.66,19.59,42.17,38.62,28.31,41.59,40.24,35.56,38.19,37.47,28.91
"166","2017100804_808",90.02,84.39,99,84.12,82.89,85.19,96.65,86.05,84.75,118,98.56,34.31,18.74,40.69,37.69,29.23,39.24,19.85,31.29,33.63,32.55,23.82
"167","2017100804_37",91.56,79.23,97.57,83.02,80.7,83.53,99.57,83.2,82.93,115.87,102.42,35.25,16.85,28.79,37.17,28.52,40.26,34.15,34.84,31.15,41.26,41.67
"168","2017100804_3251",88.2,105.24,95.3,77.49,77.75,77.71,97.11,77.45,78.83,78.18,96.21,23.76,22.05,31.83,35.48,20.66,37.47,20.79,17.02,22.02,27.89,17.43
"169","2017100804_2074",84.88,86.92,80.3,92.87,88.79,86.64,103.66,88.53,109.13,92.69,88.76,35.3,40.75,42.84,35.87,47.43,29.69,41.67,26.46,45.88,37.03,45.1
"170","2017100804_1303",84.38,82.92,81.71,98.25,80.58,83.56,108,84.52,111.96,98.36,81.35,30.85,33.72,35.08,33.77,38.13,28.48,32.16,25.82,33.94,35.37,36.67
"171","2017100803_3395",21.93,38.12,35.04,35.07,37.1,35.71,22.5,39.84,7.24,13.68,38.48,19.39,24.01,15.88,11.59,36.53,19.08,18.14,33.17,7.15,13.98,28.6
"172","2017100803_2854",94.61,81.09,84.73,83.29,83.61,84.06,94.57,81.86,105.45,104.85,81.86,30.67,30.54,35.59,40.01,19.73,33.72,32.23,18.38,33.6,34.06,24.45
"173","2017100803_2515",93.77,74.43,86.27,86.55,82.48,84.44,93.69,80.77,104.1,80.84,82.23,34.79,37.16,36.5,40.52,18.53,35.14,35.69,22.21,43.46,15.88,28.35
"174","2017100803_2064",96.79,84.31,78.91,83.93,83.54,81.05,81.34,96.74,83.97,109.74,84.77,18.1,12.71,41.04,30.52,36.37,14.95,26.07,19.08,15.42,15.84,17.35
"175","2017100802_728",36.88,36.99,20.64,19.45,37.56,20.95,36.39,38.87,35.67,21.02,9.78,28.7,40.31,33.96,31.74,25.52,38.96,31.05,34.56,37.65,37.92,42.78
"176","2017100802_3862",78.6,66.57,80.42,74.89,76.09,86.61,76.74,77.58,79.26,87.16,103.35,32.79,28.38,32.49,19.1,26.01,28.57,7,14.76,10.73,13.03,17.39
"177","2017100802_36",39.08,40.64,20.48,20.67,36.75,38.19,39.94,38.78,20.02,20.39,-0.07,11.98,30.31,19.91,26.91,12.64,23.48,23.62,27.19,19.04,26.02,15.07
"178","2017100802_3502",76.31,71.4,78.57,75.71,78.33,80.57,75.51,75.76,78.98,85.58,99.12,33.18,21.16,35.22,18.77,25.34,31.57,6.59,14.79,11.1,10.89,14.69
"179","2017100802_264",83.48,97.69,105.02,84.59,83.52,83.33,97.87,85.8,82.8,113.29,82.74,26.64,33.63,30.48,23.1,28.27,41.6,31.13,36.19,33.61,32.08,36.05
"180","2017100802_2477",80.02,99.92,100.29,82.11,106.53,84.61,83.22,79.3,82.16,99.57,118.87,42.37,32.89,33.76,40.89,26.96,19.36,34.86,28.81,24,30.65,33.46
"181","2017100802_2080",31.85,20.82,9.11,37.83,37.55,35.12,21.31,35.95,36.92,2.71,36.07,27.61,21.2,23.82,35.99,23.87,10.03,24.09,17.32,19.81,20.68,18.3
"182","2017100802_1204",79.87,76.86,99.26,99.8,82.94,106.47,83.67,82.87,83.78,99.78,120.25,43.4,24.34,34.09,34.97,43.22,26.32,31.68,26.45,23.34,31.59,30.88
"183","2017100802_1055",35.8,20.48,8.54,35.27,35.7,33.75,21.81,34.11,37.55,3.2,36.8,23,12.47,16.05,29.28,25.66,9.53,19.1,13.89,18.15,12.08,15.95
"184","2017100801_3834",62.26,41.97,57.28,64.71,61.41,52.32,63.29,65.59,63.72,64.81,63.17,12.58,28.06,43.8,35.91,28.27,11.91,21.83,40.64,6.44,44.52,33.45
"185","2017100801_36",82.7,80.46,78.28,93.33,82.74,78.36,86.19,93.23,96.16,79.35,102.66,38.31,30.07,18.77,44.6,35.44,32.35,39.14,29.73,44.36,44.59,40.03
"186","2017100801_2524",85.68,100.25,87.08,88.98,90.82,97.42,82.09,95.99,91.63,86.69,107.34,21.59,19.82,12.26,9.5,20.41,28.12,15.28,7.67,9.32,29.05,12.69
"187","2017100801_2155",16.61,39.18,45.5,17.29,36.24,40.43,38.59,2.61,38.82,47.33,38.41,23.43,22.27,14.5,16.85,9.72,26.71,21.46,15.53,32.01,25.5,20.29
"188","2017100800_930",42.85,40.39,32.02,42.18,42.33,5.51,26.8,39.91,13.1,40.49,25.23,25.95,26.95,39.1,44.04,34.75,39.09,36.39,38.82,36.76,29.17,31.92
"189","2017100800_3967",3.21,38.68,38.3,20.74,21.43,22.38,38.79,37.02,21.45,40.13,36.6,34.64,18.43,41.32,33.57,28.46,26.96,25.66,22.77,32.11,31.44,35.34
"190","2017100800_3664",84.27,82.03,86.53,80.36,80.85,107.83,99.01,80.6,102.17,80.85,98.49,31.1,35.89,21.78,16.62,24.45,35.33,28.97,20.87,32.11,29.64,30.19
"191","2017100800_36",37.54,37.02,30.48,40.36,39.01,5.56,21.6,39.91,12.81,39.04,21.82,23.78,24.95,35.72,42.85,35.19,35.87,35.22,38.44,33.96,29.57,31.63
"192","2017100800_309",105.7,80.43,81.76,93.51,98.27,100.66,78.92,82.91,98.19,78.84,81.85,19.11,32.28,12.1,20.98,23.25,24.23,23.38,27.98,22.79,20.96,14.96
"193","2017100800_2970",39.85,53.6,33.12,39.07,40.23,3.4,19.6,38.3,12.58,40.83,20,23.02,18.07,34.73,43.01,34.21,41.07,35.32,36.09,39.41,28.38,33.12
"194","2017100800_2194",114.86,85.02,81.6,99.65,97.01,96.87,79.81,82.4,100.61,79.18,81.1,50.34,41.81,22.04,29.82,36.57,37.62,31.74,39.82,33.05,25.84,24.79
"195","2017100800_1689",78.54,70.18,86.29,80.95,80.39,105.79,98.78,80.68,102.43,81.1,98.81,29.21,33.09,20.23,14.65,20.27,18.83,23.3,16.29,21.77,27.19,24.69
"196","2017100800_1285",6.21,39.45,40.56,14,19.84,28.43,41.59,36.72,20.86,41.1,38.35,16.33,12.84,32.9,23.68,18.98,19.21,25.1,17.63,20.32,26.22,30.31
"197","2017100500_901",18.52,37.35,5.1,19.6,35.28,37.31,34.43,10.73,38.88,35.68,18.72,34.19,32.6,34.93,28.77,36.71,26.84,16.21,33.29,26.49,43.79,37.52
"198","2017100500_4428",101.95,101.86,116.27,85.01,83.42,85.43,108.85,83.79,82.21,84.18,101.81,33.78,35.53,37.12,25.07,39.31,45.64,37.79,32.93,20.05,27.73,22.46
"199","2017100500_4258",62.59,63.77,53.78,66.31,58.95,62.91,64.06,65.68,66.42,64.65,64.15,47.22,40.73,37.02,49.03,10.62,24.4,10.15,47.19,43.19,32.64,15.64
"200","2017100500_37",84.73,109.87,100.17,81.41,84.14,81.79,82.94,81.67,100.83,80.16,80.08,26.61,25.04,26.99,22.2,15.51,39.67,21.79,20.11,25.47,34.83,35.97
"201","2017100500_2718",20.16,21.08,6.91,35.82,37.07,34.95,12.95,36.68,37.52,36.56,19.53,20.38,18.47,18.27,31.12,15.32,10.66,17.11,19.25,36.24,25.66,32.07
"202","2017100500_2361",20.14,20.31,7.74,32.92,35.6,34.3,12.04,34.56,35.53,35.19,19.39,19.35,18,16.55,28.36,14.27,10.33,15.54,20.3,33.69,23.35,30.67
"203","2017100500_2180",90.92,91.73,103.71,83.51,81.65,82.28,98.5,83.11,82.55,83.17,93.02,17.02,22.58,16.55,14.15,27.72,35.16,19.08,24.58,11.33,17.68,11.24
"204","2017100500_1820",101.35,100.98,117.24,84.66,83.22,81.81,108.97,82.83,83.88,83.47,100.75,32.72,34.02,36.6,26.09,37.9,43.36,35.86,33.83,19.39,27.72,23.12
"205","2017100500_1536",44.57,5.44,17.65,40.63,36.59,40.01,35.61,41.34,17.43,38.81,38.82,18.1,33.26,33.7,32.98,41.8,14.69,30.28,35.96,30.94,24.67,20.13
"206","2017100200_692",20.92,33.33,20.78,33.34,37.41,12.48,3.36,35.62,24.98,32.13,34.97,20.03,28.2,15.72,29.97,15.87,19.05,14.58,19.19,18.53,17.16,23.91
"207","2017100200_3861",32.47,39.44,1.34,40.12,8.85,39.87,24.69,38.71,21.51,42.32,36.46,25.2,19.86,19.15,32.59,34.14,28.62,20.73,37.59,29.12,13.18,19.26
"208","2017100200_2838",89.06,81.81,117.94,85.89,110.69,82.92,100.13,86,99.61,81.87,86.37,28.85,33.94,35.5,20.41,25.07,25.5,32.69,18.76,29.19,40.55,36.71
"209","2017100200_2050",30.69,36.05,30.58,33.96,12.85,34.04,17.23,35.11,33.22,34.55,36.35,31.18,30.45,17.76,34.88,21.34,16.44,24.65,22.43,22.47,19.45,27
"210","2017100113_718",67.05,84.85,80.67,80.76,68.82,68.84,95.46,67.76,72.19,68.93,69.95,25.92,24.04,25.89,25.05,31.24,23.42,18.25,36.55,24.81,20.12,15.12
"211","2017100113_54",82.26,105.8,98.4,98.41,82.31,82.75,111.78,67.31,86.07,81.28,80.26,26.25,29.1,32.75,31.02,33.78,23.57,31.62,33.16,24.99,20.11,17.22
"212","2017100113_4046",80.93,108.01,98.27,98.2,81.5,81.54,108.51,82.95,87.54,83.62,85.18,23.2,24.1,21.88,19.73,30.94,20.39,8.04,35.8,21.99,18.66,13.66
"213","2017100113_3618",82.11,115.42,99.67,99.65,81.17,82.28,109.95,83.75,87.53,83.65,86.13,24.37,17.72,23.04,21.56,29.01,22.06,19.12,34.49,24.19,19.54,16.27
"214","2017100113_3250",42.98,12.35,20.83,23.07,41.2,39.39,5.43,38.01,34.98,37.83,37.43,13.56,28.34,16.23,22.65,16.74,24.51,17.32,12.93,16.86,32.44,34.91
"215","2017100113_3169",40.17,14.98,21.55,21.63,36.55,38.84,12.14,35.53,32.15,36.08,35.58,18.39,24.84,18.84,22.36,18.99,22.58,17.34,14.2,21.45,31.69,35.74
"216","2017100113_3004",84.25,85.34,83.19,81.15,100.97,116.36,80.69,84.95,80.79,86.4,100.65,35.25,21.18,14.24,12.35,24.91,26.92,17.24,31.9,18.9,28.83,23.79
"217","2017100113_2227",84.62,85.68,85.59,84.35,95.97,109.65,86.03,88.85,88.33,85.23,96.17,39.88,22.02,16.62,11.68,27.16,27.28,18.35,36.1,34.66,30.63,25.83
"218","2017100113_2026",83.95,85.52,86.07,84.42,101.36,116.67,85.88,86,86.66,84.83,100.42,42.54,20.54,14.01,10.51,30.56,33.97,12.45,37.99,36.62,30.87,29.55
"219","2017100113_1179",40.86,11.12,22.27,24.14,40.68,39.33,7.91,38.57,32.78,37.81,37,18.52,22.2,13.36,22.69,16.86,22.62,8.78,13.99,20.06,32.09,35.62
"220","2017100112_845",97.6,105.61,115.02,96.78,81.73,80.65,88.43,105.9,82.19,79.68,79.84,40.3,31.04,43.17,37.66,30.06,21.63,34.69,44.08,26.46,41.1,37.45
"221","2017100112_3411",80.7,90.84,74.64,78.52,70.35,82.66,86.15,78.99,83.14,66.3,107.13,18.14,21.58,35.75,21.51,31.22,20.4,38.13,33.86,27.13,43.72,28.65
"222","2017100112_2573",91.98,96.8,113.79,90.47,71.56,73.19,83.99,97.52,73.18,70.5,70.38,22.96,15.22,27.73,17.62,23.46,11.7,20.62,31.69,17.03,40.9,32.44
"223","2017100112_2285",97.76,104.9,111.86,97.28,83.66,85.53,88.01,107.74,84,80.98,80.5,36.07,30.51,37.61,34.77,29.95,21.27,34.19,39.11,26.69,40.45,36.37
"224","2017100111_781",1.98,20.82,37.16,36.45,21.4,36.82,36.03,34.02,15.78,36.41,32.49,28.7,29.85,39.26,15.1,26,31.67,29.39,22.69,24.02,13.16,16.3
"225","2017100111_4011",98.47,79.23,118.15,96.7,83.34,81.18,77.45,108.96,98.6,67.76,81.75,13.68,16.63,12.72,24.6,14.79,24.56,40.05,13.86,11.05,16.98,20.54
"226","2017100111_38",0.77,20.75,33.82,32.53,20.7,35.58,31.26,30.12,14.69,32.73,30.72,32.75,32.26,43.96,42.66,30.67,40.11,34.26,25.24,29.32,15.52,18.3
"227","2017100111_3667",0.81,20.36,39.74,35.96,22.44,36.81,37.16,36.1,16.87,38.43,34.76,34.4,37.98,46.71,40.46,29.75,39.41,32.22,29.27,30.15,21.72,25.36
"228","2017100111_2867",26.03,39.42,13.55,24.12,35,38.68,48.25,18.02,25.7,35.22,37.35,41.02,36.49,45.37,34.35,39.52,29.56,19.39,41.74,42.52,41.17,32.56
"229","2017100111_2345",21.76,38.1,8.83,21.61,36.39,38.5,48.79,12.77,22.07,35.76,38.09,39.26,36.64,41.16,32.8,39.7,29.93,19.49,39.08,40.81,44.52,31.82
"230","2017100111_1797",22.34,40.1,8.74,23.35,36.86,40.65,48.77,14.23,22.38,38.74,37.23,40.6,36.62,43.49,35.03,39.36,28.18,21.63,39.16,41.91,43.79,32.89
"231","2017100111_1516",34.96,37.9,8.97,24.17,35.73,39.12,47.84,13.83,21.03,38.38,37.38,39.4,34.46,35.43,32.06,37.42,28.24,21.06,33.34,38.63,42.72,30.9
"232","2017100110_868",25.33,25.5,6.27,39.83,42.14,24.73,45.35,41.11,10.27,40.56,40.81,27.78,26.66,5.65,9.92,28.35,21.91,34.18,20.5,17.39,18.43,15.34
"233","2017100110_448",26.21,26.07,1.44,38.45,39.17,24.06,42.07,40.01,5.88,37.88,39.28,27.96,26.85,21.93,13.14,32.4,22.28,34.99,19.47,22.87,20.67,16.3
"234","2017100110_3726",99.32,85.06,81.16,112.42,97.02,83.95,83.43,84.44,79.46,80.32,113.76,21.72,28.97,20.46,27.99,38.06,35.28,23.62,26.6,26.22,15.31,28.48
"235","2017100110_37",27.85,26.56,4.93,37.8,37.61,28.01,39.36,37,8.01,36.49,38.38,28.38,27.26,17.42,12.05,29.5,22.77,33.49,20.47,18.72,18.98,14.29
"236","2017100110_3211",100.29,83.75,82.69,115.45,99.91,82.03,83.7,84.6,83.6,81.82,117.48,26.7,33.51,24.85,31.2,34.46,39.11,29.41,32.47,36.58,21.44,32.39
"237","2017100110_2943",97.07,78.18,117.2,78.8,84.68,89.44,83.4,83.46,114.29,87.21,81.58,33.86,41.46,28.58,42.06,29.06,37.45,32.83,24.45,27.78,39.5,39.27
"238","2017100110_2189",20.6,37.14,37.59,5.99,19.59,37.84,36.76,35.07,37.62,38.12,9.73,31.65,21.23,29.54,28.61,22.32,16.98,25.47,22.82,18.36,37.14,27.24
"239","2017100110_1609",98.48,77.56,113.33,75.69,79.75,87.19,78.88,79.94,111.25,84.93,79.81,32.88,40,36.42,40.2,30.66,43.77,35.51,24.47,35.23,36.97,39.75
"240","2017100110_1419",21.39,33.87,36.93,2.35,18.02,36.87,35.24,35.82,35.31,36.75,7.63,27.52,22.02,34.42,28.71,22.82,17.69,26.95,24.62,20.2,36.39,27.2
"241","2017100110_1348",94.6,93.48,114.72,82.78,82.27,94.41,80.37,82.56,111.75,83.69,82.29,26.99,28.03,41.9,43.25,23.47,32.93,20.64,33.9,39.04,35.04,39.15
"242","2017100109_4680",18.61,44.89,39.21,39.82,38.94,38.18,15.06,37.98,18.22,4.08,38.83,27.3,32.53,24.09,21.79,33.6,18.39,28.06,28.12,25.21,27.63,14.95
"243","2017100109_3806",99.67,76.98,82.17,76.43,77.63,79.19,106.5,79.79,99.37,115.82,78.54,26.79,12.6,26.59,16.61,23.14,36.82,31.19,30.82,31.46,36.18,40.61
"244","2017100109_2943",37.52,19.48,37.04,39.15,40.37,39.84,12.84,39.52,19.58,4.56,35.97,37.42,32.82,40.4,29.11,32.4,18.05,32.93,23.69,31.04,32.48,14.25
"245","2017100109_2694",77.24,101.39,116.1,94.04,79.47,91.88,80.41,99.25,74.2,74.67,70.67,40.17,18.27,38.19,34.25,29.08,29.32,44.02,42.29,21.26,13.87,31.62
"246","2017100109_2192",83.24,99.41,74.37,81.37,81.19,81.03,106.02,82.36,99.83,79.71,112,20.05,20.8,19.29,25.69,28.23,31.77,16.83,23.41,23.88,33.79,16.92
"247","2017100109_1253",80.6,94.57,82.5,79.98,76.69,78.07,100.21,77.2,94.63,78.62,106.72,15.53,17.11,14.2,22.57,19.66,34.61,15.6,28.96,18.9,36.55,16.75
"248","2017100109_1238",85.74,99.03,86.38,80.35,80.41,81.4,106.76,81.95,98.65,84.92,115.19,19.42,24.99,17.67,25.15,21.56,35.94,25.16,32.24,26.23,39.75,24.59
"249","2017100108_461",12.79,33.3,32.57,17.78,12.93,33.17,4.76,17.92,34.08,36.45,36.16,31.05,17.85,28.93,24.54,23.18,30.02,22.76,23.9,22.28,36.07,34.6
"250","2017100108_45",83.32,82.05,97.23,83.29,80.7,98.44,80.95,81.21,84.53,105.04,113.85,26,22.99,19.2,24.32,31.3,14.81,19.71,15.82,23.18,14.55,9.87
"251","2017100108_3856",82.63,80.68,110.54,81.77,87.95,78.55,78.33,80.98,87.92,85.39,100.25,39.49,34.47,46.91,35.55,39.37,46.21,20.84,26.19,22.76,32.78,33.24
"252","2017100108_382",81.28,81.64,95.25,82.28,79.45,98.64,79.85,81.83,82.72,104.94,111.05,25.25,18.93,21.81,22.97,33.9,13.7,16.48,7.84,21.97,7.84,4.48
"253","2017100108_3171",82.27,82.55,111.8,82.92,86.1,81.51,78.66,81.47,84.27,84.99,106.19,38.02,33.48,46.46,36.53,38.25,45.1,21.91,27.67,18.09,32.99,37
"254","2017100108_2848",108.75,86.99,82.62,103.11,109.47,79.94,117.05,102.75,82.07,80.65,80.97,22.43,36.5,30.21,26.44,32.69,19.08,26.47,27.26,33.56,16.67,21.55
"255","2017100108_1414",36.68,35.89,29.43,36.25,45.68,23.31,34.46,36.9,33.32,16.1,8.71,27.83,34.01,32.15,30.94,20.61,31.9,38.56,41.36,39.31,34.81,33.09
"256","2017100107_55",39.27,1.58,17.46,40.66,35.14,39.02,36.95,38.13,19.68,35.57,37,22.77,17.31,12.06,25.38,13.31,32.07,20.76,27.64,18.69,15.61,18.87
"257","2017100107_451",31.02,0.19,16.45,34.69,30.95,31.47,28.94,34.91,17.23,32.33,31.86,19.67,19.29,16.09,21.7,11.78,34.99,17.47,25.14,17.19,15.32,16.86
"258","2017100107_3650",39.27,37.86,23.07,19.81,42.03,38.84,22.39,36.22,36.16,13.11,35.12,35.34,39.74,32.77,31.16,24.99,41.19,33.63,27.52,33.03,34.67,38.14
"259","2017100107_3262",37.04,34.63,25.83,16.46,37.21,44.13,25.74,35.08,37.02,11.07,37.02,22.6,26.11,15.12,22.45,32.18,11.99,16.37,14.02,15.76,18.5,12.27
"260","2017100107_3019",80.38,117.86,100.6,79.35,82.56,79.56,88.89,81.36,99.9,82.14,81.45,33,44.64,43.77,30.1,44.59,20.25,33.9,24.67,38.03,38.86,35.91
"261","2017100107_1981",84.37,85.09,98.72,108.96,84.15,82.69,99.06,85.07,83.15,111.51,91.64,19.24,14.14,22.41,25.96,32.75,12.88,21.66,25.88,20.24,24.92,20.23
"262","2017100107_1565",38.56,38.94,21.85,17.12,36.87,36.25,21.46,36.09,36.38,7.9,31.57,37.72,39.33,34.59,33.63,42.93,26.69,35.68,29.42,34.54,36.04,36.77
"263","2017100107_1270",77.7,107.6,96.88,77.95,81.01,79.15,86.35,78.02,96.43,81.23,79.64,32.12,37.92,38.63,30.09,41.13,21.22,34.4,24.8,33.31,37.39,35.3
"264","2017100107_1052",37.92,35.04,24.01,13.88,39.19,23.91,35.35,6.23,38.11,33.93,34.83,19.39,23.86,16.75,21.89,9.6,18.69,18.8,19.83,16.99,21,28.12
"265","2017100106_991",24.2,5.43,25.66,34.84,36.84,35.69,24.61,25.07,14.13,36.03,35.03,32.57,22.66,24.05,25.25,22.78,21.66,31.71,25.14,19.69,18.5,28.74
"266","2017100106_2403",16.45,28.07,28.32,37.65,35.51,36.26,19.65,27.41,28.81,36.88,35.72,1.36,7.8,16.16,25.07,18.06,11.88,15.91,14.42,9.03,10.3,21.2
"267","2017100106_2188",25.18,11.17,29.16,35.44,34.69,34.26,22.55,26.38,16.97,33.35,35.58,15.7,5.54,22.04,29.26,20.7,17.54,20.04,17.81,18.44,16.06,22.96
"268","2017100106_1896",26.05,2.65,28.38,35.67,34.3,36.64,22.48,26.55,15.32,33.33,34.47,15.78,3.91,28.03,33.63,23.3,18.7,19.47,18.74,22.4,16.15,25.8
"269","2017100106_1685",79.89,100.14,100.1,83.61,88.16,82.97,82.67,82.76,100.83,99.92,116.24,31.01,18.81,13.58,15.15,21.96,27.38,21.59,16.81,25.05,17.74,13.32
"270","2017100105_948",89.67,84.15,98.53,81.8,83.95,90.45,86.36,84.53,82.27,117.53,99.48,19.79,6.59,12.63,14.39,32.19,17.72,24.06,17,15.6,20.97,23.76
"271","2017100105_590",30.79,35.13,20.53,37.59,37.85,29.74,34.71,36.09,37.62,4.39,20.92,35.14,46.9,41.86,41.98,25.04,36.6,29.95,37.5,38.83,33.33,30.82
"272","2017100105_37",31.88,38.66,37.48,39.74,38.65,29.77,36.3,36.63,38.5,9.65,22.85,39.04,45,41.44,43.08,26.98,41.33,33.58,38.6,39.82,36.51,31.91
"273","2017100105_3257",87.66,77.97,95.39,84.77,77.64,78.23,93.83,83.24,81.75,107.66,95.63,12.68,7.12,5.5,11.48,8.63,27.11,8.28,14.25,19.34,5.81,19.33
"274","2017100105_3204",89.09,76.01,100.01,85.19,83.28,81.93,95.91,84.21,82.06,117.77,100.77,12.85,10.17,9.02,14.98,10.72,28.78,11.25,16.65,23.21,10,21.35
"275","2017100105_3030",92.9,83.36,99.13,81.64,80.4,80.02,100.74,82.84,80.16,116.19,101.21,24.51,7.89,15.99,33.42,17.63,37.21,23.34,29.5,19,27.37,32.2
"276","2017100105_2423",28.79,34.14,21.16,38.13,37.86,28.65,35.17,34.38,35.93,6.47,20.83,35.07,46.56,41.33,42.99,25.18,36.57,30.1,34.46,38.33,33.96,31.41
"277","2017100105_1989",113.72,83.42,84.26,91.77,84.13,83.41,87.17,88.01,82.92,81.83,110.51,31.83,40.62,31.16,20.16,35.82,15.54,27.13,31.31,19.79,26.73,29
"278","2017100105_1773",89.85,86.34,98.02,82.95,82.48,89.98,85.15,84.62,83.84,116.12,99.67,18.91,6.52,12.59,12.1,29.66,18,23.61,19.31,16.19,21.57,23.74
"279","2017100105_1623",13.62,37.98,35.25,29.83,36.47,37.75,31.04,33.02,35.37,35.95,10.2,38.96,24.44,32.75,41.46,28.36,47.02,39.59,33.04,41.09,36.41,43.71
"280","2017100105_1416",89.57,84.76,97.82,81.66,82.61,91.15,84.55,85.34,84,118.21,100.39,19.76,6.81,12.68,15.4,30.06,18.26,24.04,17.83,16.18,21.27,22.84
