"","combid","Poss_1_x","Poss_2_x","Poss_3_x","Poss_4_x","Poss_5_x","Poss_6_x","Poss_7_x","Poss_8_x","Poss_9_x","Poss_10_x","Poss_11_x","Def_12_x","Def_13_x","Def_14_x","Def_15_x","Def_16_x","Def_17_x","Def_18_x","Def_19_x","Def_20_x","Def_21_x","Def_22_x","Poss_1_y","Poss_2_y","Poss_3_y","Poss_4_y","Poss_5_y","Poss_6_y","Poss_7_y","Poss_8_y","Poss_9_y","Poss_10_y","Poss_11_y","Def_12_y","Def_13_y","Def_14_y","Def_15_y","Def_16_y","Def_17_y","Def_18_y","Def_19_y","Def_20_y","Def_21_y","Def_22_y"
"161","2017100805_2873",75.68,76.74,71.32,71.66,74.48,75.04,70.14,75.81,77.8,62.96,75.06,94.46,94.42,82.31,81.73,94.42,109.06,78.14,79.29,103.58,79.07,80.47,24.95,44.55,38.52,45.02,35.49,22.1,14.14,31.63,12.46,28.37,17.57,22.53,23.31,41.8,18.81,28.77,37.8,29.71,16.48,32.75,31.08,35.62
"162","2017100805_2386",55.13,41.73,50,42.53,42.6,48,42.87,40.07,39.8,43.6,41.03,7.8,12.77,24.5,37.4,35.9,23.7,35.9,38.37,37.27,36.13,34.7,28.7,9.37,12.27,13.87,30.47,39.03,16.43,36.7,32.43,26.17,21.27,21.07,24.1,24.7,35.53,16.23,21.33,28.4,23.17,20.77,10.03,14.07
"163","2017100805_2336",61.92,76.59,67.72,75.95,73.34,68.08,76.61,75.26,74.74,76.18,NA,87.15,85.03,79.53,85.06,85.74,76.51,81.25,80.4,78.73,85.04,NA,18.74,44.02,42.62,40.52,27.55,16.54,38.25,18.63,21.8,34.15,NA,32.07,31.1,19.9,42.11,36.69,23.53,31.16,37.04,43.89,38.78,NA
"164","2017100805_1073",62.96,75.18,66.19,73.77,66.27,73.81,75.45,76.79,76.69,76.18,NA,106.48,97.12,79.68,83.42,97.19,80.07,82.12,81.81,81.57,83.67,NA,23.32,41.75,40.8,39.15,14.63,22.05,35.84,15.65,17.52,30.81,NA,24.69,29.13,16.65,38.44,32.85,24.43,29,33.08,41.37,36.42,NA
"165","2017100804_963",79.36,73.46,62.15,79.41,81.27,76.76,73.57,80.34,82.25,78.26,74.97,89.6,81.6,99.81,81.64,83.25,81.36,94.75,83.43,83.42,115.74,96.74,39.07,17.1,26.88,26.25,33.68,39.15,41.99,44.14,26.51,19.16,24.14,35.66,19.59,42.17,38.62,28.31,41.59,40.24,35.56,38.19,37.47,28.91
"166","2017100804_808",80.71,75.52,63.96,79.97,83.1,77.2,72.6,79.93,81.3,80.47,78.04,90.02,84.39,99,84.12,82.89,85.19,96.65,86.05,84.75,118,98.56,25.93,42.71,27.08,36.29,27.79,24.33,18.41,17.2,33.2,44.43,38.52,34.31,18.74,40.69,37.69,29.23,39.24,19.85,31.29,33.63,32.55,23.82
"167","2017100804_37",76.88,73.8,60.08,74.41,78.49,74.25,71.35,76.68,76.88,71.8,71.35,91.56,79.23,97.57,83.02,80.7,83.53,99.57,83.2,82.93,115.87,102.42,37.29,15.91,28,24.71,32.45,37.73,43.01,40.89,26.48,20.5,23.41,35.25,16.85,28.79,37.17,28.52,40.26,34.15,34.84,31.15,41.26,41.67
"168","2017100804_3251",70.17,66.62,59.91,69.6,72.11,67.84,64.02,70.91,72.13,70.17,69.08,88.2,105.24,95.3,77.49,77.75,77.71,97.11,77.45,78.83,78.18,96.21,21.88,41.33,25.31,33.13,23.97,20.02,14.85,15.4,29.71,43.59,37.03,23.76,22.05,31.83,35.48,20.66,37.47,20.79,17.02,22.02,27.89,17.43
"169","2017100804_2074",70.35,79.01,83.82,87.18,87.72,85.96,83.87,85.77,85.35,88.43,75.75,84.88,86.92,80.3,92.87,88.79,86.64,103.66,88.53,109.13,92.69,88.76,35.66,24.59,40.61,47.47,45.29,39.59,34.52,29.66,23.25,35.91,46.25,35.3,40.75,42.84,35.87,47.43,29.69,41.67,26.46,45.88,37.03,45.1
"170","2017100804_1303",66.35,74.76,77.78,78.06,79.51,79.57,78.6,78.02,78.3,80.57,69.69,84.38,82.92,81.71,98.25,80.58,83.56,108,84.52,111.96,98.36,81.35,28.76,19.86,34.45,43.82,39.97,37.26,26.85,23.1,19.65,30.5,45.7,30.85,33.72,35.08,33.77,38.13,28.48,32.16,25.82,33.94,35.37,36.67
"171","2017100803_3395",41.67,41.35,43.66,46.94,44.17,41.15,49.44,46.22,50.75,59.91,41.83,21.93,38.12,35.04,35.07,37.1,35.71,22.5,39.84,7.24,13.68,38.48,7.23,13.94,21.03,40.8,37.64,29.62,20.43,28.33,33.83,24.77,17.75,19.39,24.01,15.88,11.59,36.53,19.08,18.14,33.17,7.15,13.98,28.6
"172","2017100803_2854",78.73,80.16,78.28,74.87,79.91,80.16,71.99,77.21,73.44,63.32,80.94,94.61,81.09,84.73,83.29,83.61,84.06,94.57,81.86,105.45,104.85,81.86,42.28,38.04,31.03,13.95,16.44,23.85,33.38,24.25,18.55,27.77,34.57,30.67,30.54,35.59,40.01,19.73,33.72,32.23,18.38,33.6,34.06,24.45
"173","2017100803_2515",81.79,82.1,81.72,76.3,75.37,79.03,77.89,77.08,62.05,81.9,81.47,93.77,74.43,86.27,86.55,82.48,84.44,93.69,80.77,104.1,80.84,82.23,43.99,40.41,32.69,13.43,40.14,39.17,28.4,21.18,29.66,30.55,18.79,34.79,37.16,36.5,40.52,18.53,35.14,35.69,22.21,43.46,15.88,28.35
"174","2017100803_2064",82.09,81.21,80.7,76.78,85.38,83.05,78.7,78.78,63.9,83.28,80.87,96.79,84.31,78.91,83.93,83.54,81.05,81.34,96.74,83.97,109.74,84.77,10.35,13.67,19.47,42.16,8.37,23.35,27.21,30.88,22.9,14.73,36.7,18.1,12.71,41.04,30.52,36.37,14.95,26.07,19.08,15.42,15.84,17.35
"175","2017100802_728",56.8,40.35,42.3,39.88,44.12,41.69,41.58,44.91,40.31,40.74,43.89,36.88,36.99,20.64,19.45,37.56,20.95,36.39,38.87,35.67,21.02,9.78,36.75,34.04,23.45,30.4,46.08,43.28,40.36,25.63,37.41,22.17,25.11,28.7,40.31,33.96,31.74,25.52,38.96,31.05,34.56,37.65,37.92,42.78
"176","2017100802_3862",74.83,54.07,81.33,70.82,73.21,63.63,74.91,76.38,74.24,68.41,79.66,78.6,66.57,80.42,74.89,76.09,86.61,76.74,77.58,79.26,87.16,103.35,18.14,24.79,16.96,32.77,7.07,36.98,14.44,27.18,30.3,27.92,8.78,32.79,28.38,32.49,19.1,26.01,28.57,7,14.76,10.73,13.03,17.39
"177","2017100802_36",60.9,39.48,42.53,39.47,44.67,42.21,41.56,47.49,41.61,42.73,43.03,39.08,40.64,20.48,20.67,36.75,38.19,39.94,38.78,20.02,20.39,-0.07,25.95,19.63,28.79,25.04,9.57,10.22,15.47,35.48,17.38,37.92,26.5,11.98,30.31,19.91,26.91,12.64,23.48,23.62,27.19,19.04,26.02,15.07
"178","2017100802_3502",75.9,54.33,80.46,72.41,74.08,62.29,74.34,78.43,77.84,71.56,79.26,76.31,71.4,78.57,75.71,78.33,80.57,75.51,75.76,78.98,85.58,99.12,17.42,26.12,17.27,29.84,5.64,33.73,14.72,24.21,28.02,20.27,12.04,33.18,21.16,35.22,18.77,25.34,31.57,6.59,14.79,11.1,10.89,14.69
"179","2017100802_264",76.49,80.84,62.08,79.95,74.36,71.25,77.8,78.49,81.22,77.87,79.5,83.48,97.69,105.02,84.59,83.52,83.33,97.87,85.8,82.8,113.29,82.74,29.18,24.84,33.11,39.87,16.82,43.92,26.05,37.1,44.31,32.16,19.61,26.64,33.63,30.48,23.1,28.27,41.6,31.13,36.19,33.61,32.08,36.05
"180","2017100802_2477",61.1,73.86,76.97,79.39,80.59,76.55,77.2,74.29,78.12,77.75,76.26,80.02,99.92,100.29,82.11,106.53,84.61,83.22,79.3,82.16,99.57,118.87,29.86,44.73,24.58,27.92,31.73,45.07,39.03,13.96,36.02,14.65,26.27,42.37,32.89,33.76,40.89,26.96,19.36,34.86,28.81,24,30.65,33.46
"181","2017100802_2080",47.18,61.41,45.67,47.33,48.12,52.4,45.54,44.21,41.98,44.78,42.45,31.85,20.82,9.11,37.83,37.55,35.12,21.31,35.95,36.92,2.71,36.07,23.17,17.75,13.56,32.98,37.93,8.4,26.43,16.3,8.23,20.87,30.79,27.61,21.2,23.82,35.99,23.87,10.03,24.09,17.32,19.81,20.68,18.3
"182","2017100802_1204",56.49,82.65,79.3,81.82,75.81,78.63,76.65,75.13,79.06,80.05,79.1,79.87,76.86,99.26,99.8,82.94,106.47,83.67,82.87,83.78,99.78,120.25,27.95,22.06,36.34,30.84,24.14,13.69,16.66,35.79,20.38,45.23,33.97,43.4,24.34,34.09,34.97,43.22,26.32,31.68,26.45,23.34,31.59,30.88
"183","2017100802_1055",42.72,39.4,62.3,39.63,46.35,48.25,42.33,40.79,39.1,40.98,39.92,35.8,20.48,8.54,35.27,35.7,33.75,21.81,34.11,37.55,3.2,36.8,21.29,24.7,13.61,11.75,35.05,7.76,27.04,15.17,7.35,20.04,32.6,23,12.47,16.05,29.28,25.66,9.53,19.1,13.89,18.15,12.08,15.95
"184","2017100801_3834",71.32,75.77,67,75.13,70.03,68.65,69.98,67.96,71.82,72.27,77.11,62.26,41.97,57.28,64.71,61.41,52.32,63.29,65.59,63.72,64.81,63.17,41.75,16.22,35.27,12.17,27.54,34.47,38.36,37.71,30.26,26.37,10.41,12.58,28.06,43.8,35.91,28.27,11.91,21.83,40.64,6.44,44.52,33.45
"185","2017100801_36",71.08,73.73,69.94,68.82,69.06,71.63,72.45,71.42,60.93,70.41,75.03,82.7,80.46,78.28,93.33,82.74,78.36,86.19,93.23,96.16,79.35,102.66,17.58,35.78,38.27,11.56,26.62,48.63,40.79,28.54,31.87,21.67,45.16,38.31,30.07,18.77,44.6,35.44,32.35,39.14,29.73,44.36,44.59,40.03
"186","2017100801_2524",85.75,83.04,80.94,89.26,82.75,79.05,78.34,82.23,67.36,83.44,76.62,85.68,100.25,87.08,88.98,90.82,97.42,82.09,95.99,91.63,86.69,107.34,9.21,22.48,24.85,3.62,12.38,17.49,28.79,16.32,24.89,9.8,31.86,21.59,19.82,12.26,9.5,20.41,28.12,15.28,7.67,9.32,29.05,12.69
"187","2017100801_2155",45.34,49.83,41.62,42.29,41.91,54.59,42.03,44.69,44.68,45.98,42.76,16.61,39.18,45.5,17.29,36.24,40.43,38.59,2.61,38.82,47.33,38.41,28.34,34.61,16.48,27.29,22.85,23.95,34.24,31.36,11.99,10.36,5.51,23.43,22.27,14.5,16.85,9.72,26.71,21.46,15.53,32.01,25.5,20.29
"188","2017100800_930",52.62,53.37,52.48,51.86,53.7,65.49,56.34,51.88,50.33,52.2,49.32,42.85,40.39,32.02,42.18,42.33,5.51,26.8,39.91,13.1,40.49,25.23,45.41,48.14,20.03,26.39,22.76,32.62,14.99,39.79,35.27,24.78,31.33,25.95,26.95,39.1,44.04,34.75,39.09,36.39,38.82,36.76,29.17,31.92
"189","2017100800_3967",44.76,49.33,61.25,45.15,44.05,42.78,43.93,49.32,48.23,46.69,45.67,3.21,38.68,38.3,20.74,21.43,22.38,38.79,37.02,21.45,40.13,36.6,32.76,38.56,34.7,41.08,16.7,21.66,30.44,25.56,40.16,24.87,36.01,34.64,18.43,41.32,33.57,28.46,26.96,25.66,22.77,32.11,31.44,35.34
"190","2017100800_3664",70.71,72.64,68.39,73.76,75.12,57.62,70.82,72.64,73.91,73.26,73.1,84.27,82.03,86.53,80.36,80.85,107.83,99.01,80.6,102.17,80.85,98.49,48.24,13.42,12.48,42.49,31.96,24.31,20.56,21.72,34.02,27.85,37.23,31.1,35.89,21.78,16.62,24.45,35.33,28.97,20.87,32.11,29.64,30.19
"191","2017100800_36",47.3,48.74,47.7,46.58,49.13,62.75,52.14,46.47,45.75,47.31,44.88,37.54,37.02,30.48,40.36,39.01,5.56,21.6,39.91,12.81,39.04,21.82,44.57,47.3,20.16,29.38,22.59,32.19,15.75,39.52,36.12,25.69,31.72,23.78,24.95,35.72,42.85,35.19,35.87,35.22,38.44,33.96,29.57,31.63
"192","2017100800_309",76.36,71.36,60.51,77,73.28,76.01,75.73,70.2,74.89,71.76,74.6,105.7,80.43,81.76,93.51,98.27,100.66,78.92,82.91,98.19,78.84,81.85,19.98,13.18,21.14,12.15,31.77,34.07,21.9,25.85,14.06,29.04,17.39,19.11,32.28,12.1,20.98,23.25,24.23,23.38,27.98,22.79,20.96,14.96
"193","2017100800_2970",51.65,48.65,49.62,47.1,46.6,51.04,64.79,49.12,47.25,48.56,47.33,39.85,53.6,33.12,39.07,40.23,3.4,19.6,38.3,12.58,40.83,20,12.86,45.59,48.18,18.01,29.62,17.39,32.31,39.78,36.26,25.71,33.32,23.02,18.07,34.73,43.01,34.21,41.07,35.32,36.09,39.41,28.38,33.12
"194","2017100800_2194",78.21,72.13,61.5,78.88,76.73,79.07,79.7,71.4,76.75,76.83,76.03,114.86,85.02,81.6,99.65,97.01,96.87,79.81,82.4,100.61,79.18,81.1,29.83,23.73,31.86,19.76,42.76,42.26,32.8,40.86,21.92,36.79,23.92,50.34,41.81,22.04,29.82,36.57,37.62,31.74,39.82,33.05,25.84,24.79
"195","2017100800_1689",66.73,72.52,69.17,73.45,73.62,69.79,59.49,72.42,73.45,73.13,74.76,78.54,70.18,86.29,80.95,80.39,105.79,98.78,80.68,102.43,81.1,98.81,39.34,9.92,7.98,36.23,24.17,32.5,22.35,14.84,18.35,28.77,20.73,29.21,33.09,20.23,14.65,20.27,18.83,23.3,16.29,21.77,27.19,24.69
"196","2017100800_1285",47.27,50.37,60.15,47.39,48.16,46.08,44.82,50.94,49.27,48.71,48.5,6.21,39.45,40.56,14,19.84,28.43,41.59,36.72,20.86,41.1,38.35,25.92,30.72,23.67,35.44,13.88,11.8,23.6,13.05,34.51,18.9,31.33,16.33,12.84,32.9,23.68,18.98,19.21,25.1,17.63,20.32,26.22,30.31
"197","2017100500_901",48.8,57.94,38.2,40.13,41.77,42.81,43.81,43.61,41.46,42.63,45.22,18.52,37.35,5.1,19.6,35.28,37.31,34.43,10.73,38.88,35.68,18.72,46.02,36.75,21,28.85,16.33,25.16,40.01,42.03,35.46,44.6,23.9,34.19,32.6,34.93,28.77,36.71,26.84,16.21,33.29,26.49,43.79,37.52
"198","2017100500_4428",72.03,71.18,62.75,79.85,80.91,78.55,77.15,78.04,78.75,76.3,78.24,101.95,101.86,116.27,85.01,83.42,85.43,108.85,83.79,82.21,84.18,101.81,18.92,47.66,29.04,23.07,29.15,19.13,39.82,43.17,34.81,47.21,27.34,33.78,35.53,37.12,25.07,39.31,45.64,37.79,32.93,20.05,27.73,22.46
"199","2017100500_4258",76.49,69.45,73.48,67.61,68.11,68.08,71.19,72.46,74.91,67.32,72.38,62.59,63.77,53.78,66.31,58.95,62.91,64.06,65.68,66.42,64.65,64.15,12.63,51.29,25.28,43.96,46.99,49.05,43.25,12.95,15.93,41.58,11.06,47.22,40.73,37.02,49.03,10.62,24.4,10.15,47.19,43.19,32.64,15.64
"200","2017100500_37",71.79,63.49,78.47,76.3,77.93,76.09,76.05,73.63,76.93,73.87,78.2,84.73,109.87,100.17,81.41,84.14,81.79,82.94,81.67,100.83,80.16,80.08,41.78,25.95,22.6,39.12,28.25,22.29,12.68,15.59,35.84,10.51,41.94,26.61,25.04,26.99,22.2,15.51,39.67,21.79,20.11,25.47,34.83,35.97
"201","2017100500_2718",47.2,53.18,61.52,40,40.59,41.19,42.41,45.05,43.02,43.21,40.68,20.16,21.08,6.91,35.82,37.07,34.95,12.95,36.68,37.52,36.56,19.53,15.52,37.3,23.97,11.37,19.98,8.16,32.3,35.02,25.42,38.95,14.81,20.38,18.47,18.27,31.12,15.32,10.66,17.11,19.25,36.24,25.66,32.07
"202","2017100500_2361",46.07,51.1,57.62,38.18,37.89,40.39,40.77,41.24,39.15,39.55,41.93,20.14,20.31,7.74,32.92,35.6,34.3,12.04,34.56,35.53,35.19,19.39,25.17,6.24,22.72,32.98,23.25,35.88,16.13,11.98,17.99,7.96,25.39,19.35,18,16.55,28.36,14.27,10.33,15.54,20.3,33.69,23.35,30.67
"203","2017100500_2180",69.99,70.33,62.41,79.32,79.73,80.26,78.4,78.38,78.29,76.47,79.63,90.92,91.73,103.71,83.51,81.65,82.28,98.5,83.11,82.55,83.17,93.02,14.12,39.32,18.9,11.26,16.83,9.75,27.17,30.75,14.48,33.91,21.73,17.02,22.58,16.55,14.15,27.72,35.16,19.08,24.58,11.33,17.68,11.24
"204","2017100500_1820",70.67,70.93,59.34,77.09,77.58,76.75,76.1,76.68,78.11,77.27,79.34,101.35,100.98,117.24,84.66,83.22,81.81,108.97,82.83,83.88,83.47,100.75,21.92,39.46,29.43,17.08,27.11,23.15,37.93,41.65,35,45.2,32.36,32.72,34.02,36.6,26.09,37.9,43.36,35.86,33.83,19.39,27.72,23.12
"205","2017100500_1536",50.38,59.79,45.87,49.6,43.92,45.99,45.47,46.13,45.63,48.03,46.34,44.57,5.44,17.65,40.63,36.59,40.01,35.61,41.34,17.43,38.81,38.82,43.7,29.32,30.38,38.98,22.58,26.74,12.97,15.86,35.45,9.14,42.74,18.1,33.26,33.7,32.98,41.8,14.69,30.28,35.96,30.94,24.67,20.13
"206","2017100200_692",41.73,56.2,44.77,43.99,44.34,39.96,44.69,40.03,41.05,39.38,41.42,20.92,33.33,20.78,33.34,37.41,12.48,3.36,35.62,24.98,32.13,34.97,34.01,29,20.07,12.22,23.54,30.19,32.73,35.03,14.32,17.72,8.31,20.03,28.2,15.72,29.97,15.87,19.05,14.58,19.19,18.53,17.16,23.91
"207","2017100200_3861",51.01,50.06,44.08,54.22,49.16,41.39,43.4,47.24,48.17,45.35,59.9,32.47,39.44,1.34,40.12,8.85,39.87,24.69,38.71,21.51,42.32,36.46,30.29,27.45,38.19,8.04,39.9,18.11,9.07,14.19,34.77,18.97,26.48,25.2,19.86,19.15,32.59,34.14,28.62,20.73,37.59,29.12,13.18,19.26
"208","2017100200_2838",71.41,73.22,77.86,74.77,73.43,81.62,80.23,76.43,78.21,76.95,60.75,89.06,81.81,117.94,85.89,110.69,82.92,100.13,86,99.61,81.87,86.37,21.63,24.07,14.58,44.74,15.86,30.9,44.26,39.48,15.98,32.62,27.86,28.85,33.94,35.5,20.41,25.07,25.5,32.69,18.76,29.19,40.55,36.71
"209","2017100200_2050",41.33,57.55,44.51,42.84,44.9,39.69,46.12,38.4,40.4,38.19,39.05,30.69,36.05,30.58,33.96,12.85,34.04,17.23,35.11,33.22,34.55,36.35,34.27,29.97,22.76,14.05,26.23,28.35,29.85,37.39,15.43,18.2,12.17,31.18,30.45,17.76,34.88,21.34,16.44,24.65,22.43,22.47,19.45,27
"210","2017100113_718",58.28,41.36,62.69,60.21,61.76,63.37,65.91,66.06,64.46,62.65,64.16,67.05,84.85,80.67,80.76,68.82,68.84,95.46,67.76,72.19,68.93,69.95,37.46,20.05,30.31,11.47,32.43,17.4,13.48,28.93,20.22,25.17,37.82,25.92,24.04,25.89,25.05,31.24,23.42,18.25,36.55,24.81,20.12,15.12
"211","2017100113_54",71.05,75.47,62.85,73.93,74.96,75.88,80.54,76.27,77.77,76.01,77.17,82.26,105.8,98.4,98.41,82.31,82.75,111.78,67.31,86.07,81.28,80.26,40.86,35.73,30.54,12.21,36.93,18.84,29.61,22.24,26.49,42.86,13.18,26.25,29.1,32.75,31.02,33.78,23.57,31.62,33.16,24.99,20.11,17.22
"212","2017100113_4046",73.18,62,75.69,73.38,67.8,76.06,76.99,78.62,77.21,77.11,76.86,80.93,108.01,98.27,98.2,81.5,81.54,108.51,82.95,87.54,83.62,85.18,25.86,19.38,4.86,16.25,37.58,32.38,36.1,25.42,16.93,20.98,10.31,23.2,24.1,21.88,19.73,30.94,20.39,8.04,35.8,21.99,18.66,13.66
"213","2017100113_3618",74.92,62.36,75.65,74.02,71.71,75.92,76.84,79.8,78.36,77.58,77.41,82.11,115.42,99.67,99.65,81.17,82.28,109.95,83.75,87.53,83.65,86.13,28.3,20.45,7.4,17.92,38.95,31.83,35.05,25.7,18.7,22.21,13.72,24.37,17.72,23.04,21.56,29.01,22.06,19.12,34.49,24.19,19.54,16.27
"214","2017100113_3250",48.91,60.95,49.3,49.52,49.82,47.3,46.46,45.8,46.87,46.58,46.3,42.98,12.35,20.83,23.07,41.2,39.39,5.43,38.01,34.98,37.83,37.43,14.95,25.79,38.58,14.2,6.73,34.76,36.94,16,28.14,23.19,10.97,13.56,28.34,16.23,22.65,16.74,24.51,17.32,12.93,16.86,32.44,34.91
"215","2017100113_3169",43.63,58.28,45.12,44.06,47.79,41.8,40.75,40.97,41.49,42,40.52,40.17,14.98,21.55,21.63,36.55,38.84,12.14,35.53,32.15,36.08,35.58,16.95,23.65,37.2,15.44,10.21,32.8,37.37,19.13,28.11,24.06,12.22,18.39,24.84,18.84,22.36,18.99,22.58,17.34,14.2,21.45,31.69,35.74
"216","2017100113_3004",78.42,78.42,80.26,82.22,80.61,77.28,77.72,77.78,64.7,83.93,80.5,84.25,85.34,83.19,81.15,100.97,116.36,80.69,84.95,80.79,86.4,100.65,35.61,14.32,8.65,32.07,21.72,38.93,11.22,18.33,25.31,30.26,41.77,35.25,21.18,14.24,12.35,24.91,26.92,17.24,31.9,18.9,28.83,23.79
"217","2017100113_2227",77.37,79.55,80.06,79.46,81.28,78.91,75.97,79.64,63.79,83.05,81.02,84.62,85.68,85.59,84.35,95.97,109.65,86.03,88.85,88.33,85.23,96.17,15.87,36.77,42.27,19.82,28.44,12.79,44.13,32.71,25.84,23.66,8.28,39.88,22.02,16.62,11.68,27.16,27.28,18.35,36.1,34.66,30.63,25.83
"218","2017100113_2026",75.88,76.68,79.55,80.55,77.11,76.11,79,77.74,60.76,81.62,81.27,83.95,85.52,86.07,84.42,101.36,116.67,85.88,86,86.66,84.83,100.42,13.91,8.31,16.9,23.27,42.09,10.89,37.1,33.83,26.82,31.29,45.17,42.54,20.54,14.01,10.51,30.56,33.97,12.45,37.99,36.62,30.87,29.55
"219","2017100113_1179",48.82,47.16,61.36,49.39,47.8,46.06,44.29,43.93,46.18,45.15,44.45,40.86,11.12,22.27,24.14,40.68,39.33,7.91,38.57,32.78,37.81,37,9.23,14.7,23.7,36.8,13.76,32.8,37.28,18.29,26.71,22.59,10.77,18.52,22.2,13.36,22.69,16.86,22.62,8.78,13.99,20.06,32.09,35.62
"220","2017100112_845",56.04,70.19,71.32,71.73,70.38,72.86,72.1,69.75,72.77,72.1,71.92,97.6,105.61,115.02,96.78,81.73,80.65,88.43,105.9,82.19,79.68,79.84,30.22,7.91,40.52,37.78,28.08,19.43,34.45,21.67,40.72,47.15,23.45,40.3,31.04,43.17,37.66,30.06,21.63,34.69,44.08,26.46,41.1,37.45
"221","2017100112_3411",62.55,78.29,74.18,79.45,74.53,79.57,75.22,71.33,79.64,70.75,80.63,80.7,90.84,74.64,78.52,70.35,82.66,86.15,78.99,83.14,66.3,107.13,28.97,36.62,19.62,20.66,36.71,28.14,17.06,30.47,15.2,49.3,35.92,18.14,21.58,35.75,21.51,31.22,20.4,38.13,33.86,27.13,43.72,28.65
"222","2017100112_2573",54.94,59.8,60.96,60.68,63.77,62.19,61.11,61.66,59.44,58.9,63.4,91.98,96.8,113.79,90.47,71.56,73.19,83.99,97.52,73.18,70.5,70.38,25.48,32.26,30.15,26.01,10.4,19,13.71,37.45,46.13,6.09,16.18,22.96,15.22,27.73,17.62,23.46,11.7,20.62,31.69,17.03,40.9,32.44
"223","2017100112_2285",59.89,74.42,76.28,73.65,77.62,75.32,73.06,75.83,72,71.77,76.24,97.76,104.9,111.86,97.28,83.66,85.53,88.01,107.74,84,80.98,80.5,29.94,39.69,37.35,33.69,19.16,26.83,22.79,40.88,12.97,46.99,23.05,36.07,30.51,37.61,34.77,29.95,21.27,34.19,39.11,26.69,40.45,36.37
"224","2017100111_781",49.8,59.18,44.01,48.36,43.05,44.18,45.37,44.49,45.65,41.76,44.3,1.98,20.82,37.16,36.45,21.4,36.82,36.03,34.02,15.78,36.41,32.49,11.29,27.3,21.2,42.57,23.8,29,12.1,14.61,39.37,33.41,41.25,28.7,29.85,39.26,15.1,26,31.67,29.39,22.69,24.02,13.16,16.3
"225","2017100111_4011",76.19,74.11,70.8,69.84,73.32,75.49,68.59,74.8,74.89,71.79,58.17,98.47,79.23,118.15,96.7,83.34,81.18,77.45,108.96,98.6,67.76,81.75,9.72,19.02,12.31,6.31,16.13,28.13,39.86,23.56,41.81,35.76,20.52,13.68,16.63,12.72,24.6,14.79,24.56,40.05,13.86,11.05,16.98,20.54
"226","2017100111_38",44.83,43.38,53.44,34.73,35.96,37.9,38.11,36.78,38.45,34.17,35.88,0.77,20.75,33.82,32.53,20.7,35.58,31.26,30.12,14.69,32.73,30.72,15.53,43.18,31.05,24.88,27.33,34.04,12.86,16.16,41.41,35.6,44.62,32.75,32.26,43.96,42.66,30.67,40.11,34.26,25.24,29.32,15.52,18.3
"227","2017100111_3667",51.57,60,46.33,45.18,46.11,47.03,46.18,47.84,46.56,51.72,45.86,0.81,20.36,39.74,35.96,22.44,36.81,37.16,36.1,16.87,38.43,34.76,45.58,28.9,22.84,32.64,27.5,38.17,13.01,17.51,41.94,15.51,45.62,34.4,37.98,46.71,40.46,29.75,39.41,32.22,29.27,30.15,21.72,25.36
"228","2017100111_2867",41.43,43.54,46.53,46.69,43.7,43.01,47.53,44.21,44.52,49.03,57.92,26.03,39.42,13.55,24.12,35,38.68,48.25,18.02,25.7,35.22,37.35,44.69,34.91,42.48,47.11,37.73,26.69,15.18,32.54,17.49,17.4,33.52,41.02,36.49,45.37,34.35,39.52,29.56,19.39,41.74,42.52,41.17,32.56
"229","2017100111_2345",42.23,44.63,45.05,49.37,44.46,43.11,48.41,44.67,43.75,47.88,58.78,21.76,38.1,8.83,21.61,36.39,38.5,48.79,12.77,22.07,35.76,38.09,44.51,35.02,47.22,41.35,38.41,25.38,15.05,30.86,15.81,17.18,33.72,39.26,36.64,41.16,32.8,39.7,29.93,19.49,39.08,40.81,44.52,31.82
"230","2017100111_1797",40.27,43.12,47.39,46.54,43.19,43.09,48.74,43.04,44.41,47.49,59.37,22.34,40.1,8.74,23.35,36.86,40.65,48.77,14.23,22.38,38.74,37.23,44.9,34.19,42.52,46.93,38.12,26.62,16.24,31.09,18.93,19.77,31.09,40.6,36.62,43.49,35.03,39.36,28.18,21.63,39.16,41.91,43.79,32.89
"231","2017100111_1516",42,44.5,46.42,46.47,43.97,42.59,46.67,43.01,43.73,46.68,57.9,34.96,37.9,8.97,24.17,35.73,39.12,47.84,13.83,21.03,38.38,37.38,42.44,33.36,40.94,45.7,37.29,25.58,14.5,30.09,16.38,19.81,30.12,39.4,34.46,35.43,32.06,37.42,28.24,21.06,33.34,38.63,42.72,30.9
"232","2017100110_868",52.82,45.95,50.38,47.74,45.79,46.18,49.2,44.48,57.11,45.6,44.81,25.33,25.5,6.27,39.83,42.14,24.73,45.35,41.11,10.27,40.56,40.81,9.17,23.95,36.88,29.9,14.8,37.02,22.1,17.52,25.6,9.18,12.01,27.78,26.66,5.65,9.92,28.35,21.91,34.18,20.5,17.39,18.43,15.34
"233","2017100110_448",51.2,42.52,47.46,45.03,43.71,44.58,46.18,40.62,55.79,43.07,43.53,26.21,26.07,1.44,38.45,39.17,24.06,42.07,40.01,5.88,37.88,39.28,13.02,27.2,38.48,32.33,17.87,38.02,25.21,18.24,28.24,11.93,14.5,27.96,26.85,21.93,13.14,32.4,22.28,34.99,19.47,22.87,20.67,16.3
